const_name,103_2050_NOMG,103_2050_TBB7,103_2050_WF21,162_2050_NOMG,162_2050_TBB7,162_2050_WF21,163_2050_NOMG,163_2050_TBB7,163_2050_WF21,167N_2050_NOMG,167N_2050_TBB7,167N_2050_WF21,167S_2050_NOMG,167S_2050_TBB7,167S_2050_WF21,405_2050_NOMG,405_2050_TBB7,405_2050_WF21,409_2050_NOMG,409_2050_TBB7,409_2050_WF21,operator,rtSide
TotalAcreage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,eq,323917
167N_Acreage,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,eq,127759
167N_WF_Lower,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ge,2760.932585
167N_ThinLink,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,ge,7888.378813
167N_NoMgLink,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,ge,0
167S_Acreage,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,eq,113295
167S_WF_Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ge,2448.358684
167S_ThinLink,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,ge,6995.310527
167S_NoMgLink,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,ge,0
162_Acreage,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eq,9739
162_WF_Lower,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,210.4644091
162_ThinLink,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,601.3268831
162_NoMgLink,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,0
409_Acreage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,eq,54498
409_WF_Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ge,1177.727628
409_ThinLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,ge,3364.936079
409_NoMgLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,ge,0
405_Acreage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,eq,6761
405_WF_Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ge,146.1084167
405_ThinLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,ge,417.452619
405_NoMgLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,ge,0
103_Acreage,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eq,5963
103_WF_Lower,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,128.8632582
103_ThinLink,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,368.1807377
103_NoMgLink,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ge,0
163_Acreage,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,eq,5902
163_WF_Lower,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ge,127.5450192
163_ThinLink,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,ge,364.4143407
163_NoMgLink,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ge,0
