const_name,608_2021_AWR,608_2021_NMGT,608_2025_AWR,608_2025_NMGT,608_2030_AWR,608_2030_NMGT,608_2050_AWR,608_2050_NMGT,999_2021_AWR,999_2021_NMGT,999_2025_AWR,999_2025_NMGT,999_2030_AWR,999_2030_NMGT,999_2050_AWR,999_2050_NMGT,operator,rtSide
TotalAcreage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,eq,175420.0
AcreageByYear_2021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,43855.0
AcreageByYear_2025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,eq,43855.0
AcreageByYear_2030,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,eq,43855.0
AcreageByYear_2050,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,eq,43855.0
TotalCedar,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,le,42975.0
608Attempt1_608,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,200.0
608Attempt1_999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,eq,200.0
2030Attempt_608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,10.0
2030Attempt_999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,eq,10.0
608Acreage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eq,40786.0
