Variables,Total Stand Carbon
505_2021_ASV,55.2021255493164
505_2025_ASV,55.2021255493164
505_2030_ASV,55.2021255493164
505_2050_ASV,55.2021255493164
505_2021_IFM,52.616355895996
505_2025_IFM,54.11275100708
505_2030_IFM,57.4300193786621
505_2050_IFM,78.3806076049804
999_2021_NAR,4.82486200332642
999_2025_NAR,3.92398738861084
999_2030_NAR,4.10875606536865
999_2050_NAR,19.5559272766113
999_2021_CAR,4.82215595245361
999_2025_CAR,4.11526250839233
999_2030_CAR,4.93814754486084
999_2050_CAR,23.6133480072021
999_2021_SAR,4.82215595245361
999_2025_SAR,4.18675756454468
999_2030_SAR,5.29899883270264
999_2050_SAR,26.0150489807128
167N_2021_THNP,32.2928771972656
167N_2025_THNP,31.2475566864013
167N_2030_THNP,31.3943672180175
167N_2050_THNP,51.6219635009765
167S_2021_THNP,34.9812507629394
167S_2025_THNP,34.2491264343261
167S_2030_THNP,34.5228767395019
167S_2050_THNP,55.9751739501953
505_2021_THNP,49.5024185180664
505_2025_THNP,49.0158538818359
505_2030_THNP,50.4638519287109
505_2050_THNP,78.0643310546875
167N_2021_THNB,34.4373016357421
167N_2025_THNB,35.4822769165039
167N_2030_THNB,36.572166442871
167N_2050_THNB,57.7596359252929
167S_2021_THNB,36.4387779235839
167S_2025_THNB,37.1355934143066
167S_2030_THNB,38.2803230285644
167S_2050_THNB,62.4855117797851
505_2021_THNB,53.6938209533691
505_2025_THNB,55.1071472167968
505_2030_THNB,58.0108642578125
505_2050_THNB,85.7316131591796
999_2021_AWR,4.82215595245361
999_2025_AWR,4.35904598236084
999_2030_AWR,6.59027862548828
999_2050_AWR,30.1517944335937
608_2021_AWR,27.2774925231933
608_2025_AWR,21.5948886871337
608_2030_AWR,21.1313648223877
608_2050_AWR,46.7029762268066
