Decision_Variable, Acres
167N_2021_THNB,221277.0
167N_2021_THNP,0.0
167N_2025_THNB,221277.0
167N_2025_THNP,0.0
167N_2030_THNB,221277.0
167N_2030_THNP,0.0
167N_2050_THNB,221277.0
167N_2050_THNP,0.0
167S_2021_THNB,197602.0
167S_2021_THNP,0.0
167S_2025_THNB,197602.0
167S_2025_THNP,0.0
167S_2030_THNB,197602.0
167S_2030_THNP,0.0
167S_2050_THNB,197602.0
167S_2050_THNP,0.0
505_2021_ASV,0.0
505_2021_IFM,54907.0
505_2021_THNB,0.0
505_2021_THNP,0.0
505_2025_ASV,0.0
505_2025_IFM,54907.0
505_2025_THNB,0.0
505_2025_THNP,0.0
505_2030_ASV,0.0
505_2030_IFM,54907.0
505_2030_THNB,0.0
505_2030_THNP,0.0
505_2050_ASV,54907.0
505_2050_IFM,0.0
505_2050_THNB,0.0
505_2050_THNP,0.0
608_2021_AWR,118164.0
608_2025_AWR,118164.0
608_2030_AWR,118164.0
608_2050_AWR,118164.0
999_2021_AWR,24845.0
999_2021_CAR,0.0
999_2021_NAR,0.0
999_2021_SAR,0.0
999_2025_AWR,24845.0
999_2025_CAR,0.0
999_2025_NAR,0.0
999_2025_SAR,0.0
999_2030_AWR,24845.0
999_2030_CAR,0.0
999_2030_NAR,0.0
999_2030_SAR,0.0
999_2050_AWR,24845.0
999_2050_CAR,0.0
999_2050_NAR,0.0
999_2050_SAR,0.0

