Variable,Net_Carbon
505_2021_ASV,-6.557883017941535
505_2025_ASV,4.20650100708
505_2030_ASV,3.9964294433594034
505_2050_ASV,31.0356254577637
505_2021_IFM,-1001.6606940031053
505_2025_IFM,1.4963951110839986
505_2030_IFM,3.3172683715821023
505_2050_IFM,20.950588226318295
505_2021_PLSQ,0.0
505_2025_PLSQ,4.322261810302699
505_2030_PLSQ,5.055492401122997
505_2050_PLSQ,25.973648071289105
505_2021_THNB,-1000.9674720168114
505_2025_THNB,1.4133262634276988
505_2030_THNB,2.903717041015703
505_2050_THNB,27.720748901367102
608_2021_AWR,-13.655957129838114
608_2025_AWR,-5.682603836059599
608_2030_AWR,-0.4635238647460014
608_2050_AWR,25.5716114044189
608_2021_PLSQ,0.0
608_2025_PLSQ,3.2434158325194957
608_2030_PLSQ,3.187152862548899
608_2050_PLSQ,15.234691619873004
999_2021_AWR,-12.185040922541365
999_2025_AWR,-0.4631099700927699
999_2030_AWR,2.2312326431274405
999_2050_AWR,23.56151580810542
999_2021_CAR,-1001.3955672383308
999_2025_CAR,-0.7068934440612793
999_2030_CAR,0.8228850364685094
999_2050_CAR,18.67520046234126
999_2021_NAR,-1001.392861187458
999_2025_NAR,-0.9008746147155797
999_2030_NAR,0.18476867675780984
999_2050_NAR,15.447171211242651
999_2021_PLSQ,0.0
999_2025_PLSQ,-0.10102605819701971
999_2030_PLSQ,0.09806585311890004
999_2050_PLSQ,1.2499690055847106
999_2021_SAR,-1001.3955672383308
999_2025_SAR,-0.6353983879089293
999_2030_SAR,1.1122412681579599
999_2050_SAR,20.716050148010158
167N_2021_PLSQ,0.0
167N_2025_PLSQ,1.8483619689941975
167N_2030_PLSQ,-0.386123657226598
167N_2050_PLSQ,6.949192047119098
167N_2021_THNB,-2.399303120615121
167N_2025_THNB,1.044975280761797
167N_2030_THNB,1.0898895263671022
167N_2050_THNB,21.187469482421896
167S_2021_PLSQ,0.0
167S_2025_PLSQ,5.697898864746101
167S_2030_PLSQ,6.045703887939403
167S_2050_PLSQ,14.331241607666001
167S_2021_THNB,-2.701224383952311
167S_2025_THNB,0.6968154907226989
167S_2030_THNB,1.1447296142578054
167S_2050_THNB,24.205188751220696
